Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
12/8/2016,771.87,773.79,765.19,767.33,3189608,0,1,771.87,773.79,765.19,767.33,3189608
12/9/2016,770,770.25,765.34,768.66,2470923,0,1,770,770.25,765.34,768.66,2470923
12/12/2016,766.4,766.89,757.2,760.12,2963945,0,1,766.4,766.89,757.2,760.12,2963945
12/13/2016,764.96,782.46,762,774.34,5285288,0,1,764.96,782.46,762,774.34,5285288
12/14/2016,778.25,780.86,762.81,768.82,5454836,0,1,778.25,780.86,762.81,768.82,5454836
12/15/2016,766.28,769.1,760.31,761,3801927,0,1,766.28,769.1,760.31,761,3801927
12/16/2016,765,765.13,754,757.77,4848219,0,1,765,765.13,754,757.77,4848219
12/19/2016,758.89,770.5,756.16,766,3113240,0,1,758.89,770.5,756.16,766,3113240
12/20/2016,768.65,774.39,767.71,771.22,2703629,0,1,768.65,774.39,767.71,771.22,2703629
12/21/2016,770,771.22,765.7,770.6,2044629,0,1,770,771.22,765.7,770.6,2044629
12/22/2016,768.12,771.21,763.02,766.34,2543551,0,1,768.12,771.21,763.02,766.34,2543551
12/23/2016,764.55,766.5,757.99,760.59,1981616,0,1,764.55,766.5,757.99,760.59,1981616
12/27/2016,763.4,774.65,761.2,771.4,2638725,0,1,763.4,774.65,761.2,771.4,2638725
12/28/2016,776.25,780,770.5,772.13,3301025,0,1,776.25,780,770.5,772.13,3301025
12/29/2016,772.4,773.4,760.85,765.15,3158299,0,1,772.4,773.4,760.85,765.15,3158299
12/30/2016,766.47,767.3999,748.28,749.87,4139449,0,1,766.47,767.3999,748.28,749.87,4139449
1/3/2017,757.92,758.7595,747.7,753.67,3521066,0,1,757.92,758.7595,747.7,753.67,3521066
1/4/2017,758.39,759.68,754.2,757.18,2510526,0,1,758.39,759.68,754.2,757.18,2510526
1/5/2017,761.55,782.3999,760.2557,780.45,5830068,0,1,761.55,782.3999,760.2557,780.45,5830068
1/6/2017,782.36,799.44,778.48,795.99,5986234,0,1,782.36,799.44,778.48,795.99,5986234
1/9/2017,798,801.7742,791.77,796.92,3446109,0,1,798,801.7742,791.77,796.92,3446109
1/10/2017,796.6,798,789.5434,795.9,2558369,0,1,796.6,798,789.5434,795.9,2558369
1/11/2017,793.66,799.5,789.51,799.02,2992791,0,1,793.66,799.5,789.51,799.02,2992791
1/12/2017,800.31,814.13,799.5,813.64,4873922,0,1,800.31,814.13,799.5,813.64,4873922
1/13/2017,814.32,821.65,811.4,817.14,3791945,0,1,814.32,821.65,811.4,817.14,3791945
1/17/2017,815.7,816,803.44,809.72,3670529,0,1,815.7,816,803.44,809.72,3670529
